NOM;PRENOM;MAIL;TELEPHONE;INFOS;DISPOJ1;HEUREAFAIRE;TYPE
LLL;Léa;prenom.nom@student.junia.com;06 00 00 00 72;;17:00;8;Benevole
MMM;Eliot;prenom.nom@student.junia.com;06 00 00 00 73;;18:00;8;Benevole
WWW;Sophie;prenom.nom@student.junia.com;06 00 00 00 74;;10:00;8;Benevole
XXX;Tiphanie;prenom.nom@student.junia.com;06 00 00 00 75;;11:00;8;Benevole
CCC;Albert;prenom.nom@student.junia.com;06 00 00 00 76;;12:00;8;Benevole
VVV;Pauline;prenom.nom@student.junia.com;06 00 00 00 77;;13:00;8;Benevole
BBB;Sarah;prenom.nom@student.junia.com;06 00 00 00 78;;14:00;8;Benevole
NNN;Antoine;prenom.nom@student.junia.com;06 00 00 00 79;;15:00;8;Benevole
AAAA;Cléo;prenom.nom@student.junia.com;06 00 00 00 80;;16:00;8;Benevole
ZZZZ;Marie;prenom.nom@student.junia.com;06 00 00 00 81;;17:00;8;Benevole
EEEE;Sixtine;prenom.nom@student.junia.com;06 00 00 00 82;;18:00;8;Benevole
RRRR;Thibault;prenom.nom@student.junia.com;06 00 00 00 83;;10:00;8;Benevole
TTTT;Nicolas;prenom.nom@student.junia.com;06 00 00 00 84;;11:00;8;Benevole
YYYY;Maxence;prenom.nom@student.junia.com;06 00 00 00 85;;12:00;8;Benevole
UUUU;Géraldine;prenom.nom@student.junia.com;06 00 00 00 86;;13:00;8;Benevole
IIII;Line;prenom.nom@student.junia.com;06 00 00 00 87;;14:00;8;Benevole
OOOO;Flora;prenom.nom@student.junia.com;06 00 00 00 88;;15:00;8;Benevole
PPPP;Pierre;prenom.nom@student.junia.com;06 00 00 00 89;;16:00;8;Benevole
QQQQ;Paul;prenom.nom@student.junia.com;06 00 00 00 90;;17:00;8;Benevole
SSSS;Clément;prenom.nom@student.junia.com;06 00 00 00 91;;18:00;8;Benevole
DDDD;Lexi;prenom.nom@student.junia.com;06 00 00 00 92;;10:00;8;Benevole
FFFF;Nina;prenom.nom@student.junia.com;06 00 00 00 93;;11:00;8;Benevole
GGGG;Angèle;prenom.nom@student.junia.com;06 00 00 00 94;;12:00;8;Benevole
HHHH;Tom;prenom.nom@student.junia.com;06 00 00 00 95;;13:00;8;Benevole
JJJJ;Florian;prenom.nom@student.junia.com;06 00 00 00 96;;14:00;8;Benevole
KKKK;Julien;prenom.nom@student.junia.com;06 00 00 00 97;;15:00;8;Benevole
LLLL;Mattéo;prenom.nom@student.junia.com;06 00 00 00 98;;16:00;8;Benevole
MMMM;Louis;prenom.nom@student.junia.com;06 00 00 00 99;;17:00;8;Benevole
WWWW;Alexis;prenom.nom@student.junia.com;06 00 00 01 00;;18:00;8;Benevole
XXXX;Nathalie;prenom.nom@student.junia.com;06 00 00 01 01;;10:00;8;Benevole
CCCC;Emile;prenom.nom@student.junia.com;06 00 00 01 02;;11:00;8;Benevole
VVVV;Edgar;prenom.nom@student.junia.com;06 00 00 01 03;;12:00;8;Benevole
BBBB;Hugo;prenom.nom@student.junia.com;06 00 00 01 04;;13:00;8;Benevole
NNNN;Andréa;prenom.nom@student.junia.com;06 00 00 01 05;;14:00;8;Benevole
AAAAA;Arthur;prenom.nom@student.junia.com;06 00 00 01 06;;15:00;8;Benevole
ZZZZZ;Léo;prenom.nom@student.junia.com;06 00 00 01 07;;16:00;8;Benevole
